,svmRadial,rf,J48,bayesglm,knn,Adaboost,rpart,nnet
1,0.07488987,0.20599251,0.19434307,0.04156967,0.06601539,0.22387268,0.12775709,0.124936
2,0.06971036,0.19591458,0.17064294,0.03714243,0.0651341,0.19558965,0.14050235,0.11489933
3,0.07590066,0.20532688,0.19510099,0.0400103,0.06883486,0.22611465,0.12753036,0.1259542
4,0.07412637,0.20556962,0.18347826,0.04035983,0.06805641,0.20826792,0.16832579,0.13023256
5,0.07362599,0.20529494,0.11351052,0.03640883,0.06898754,0.2112338,0.10788382,0.12286874
6,0.07525966,0.20038722,0.18501465,0.03646707,0.06836563,0.19850885,0.12980466,0.12180645
7,0.07675906,0.20673527,0.13002931,0.03844328,0.06825519,0.20817121,0.10606421,0.13997628
8,0.07479508,0.21586345,0.14704954,0.04219773,0.06919988,0.21506442,0.17869718,0.13189924
9,0.07498716,0.22067488,0.14194416,0.03717862,0.06981074,0.19678519,0.16206746,0.12489638
10,0.07106437,0.20063839,0.15972222,0.03815011,0.06460959,0.20643303,0.1327044,0.11394517
11,0.0727332,0.20204717,0.13439183,0.03988838,0.06701995,0.21836228,0.10719258,0.14638844
12,0.07192069,0.20381573,0.18961625,0.03799708,0.06875844,0.20317146,0.14877244,0.1281637
13,0.06997477,0.18670189,0.15692308,0.03924659,0.06956243,0.19089704,0.07295251,0.14143302
14,0.07211379,0.19972002,0.16785849,0.03542996,0.06743594,0.20885132,0.18398475,0.12556531
15,0.07086871,0.18934911,0.1302354,0.03885231,0.06649223,0.19803922,0.11579249,0.1271905
16,0.07563162,0.20689655,0.1736952,0.04081633,0.06767139,0.20981059,0.09985401,0.12186935
17,0.07601841,0.19422572,0.1362862,0.03893477,0.06886228,0.19971871,0.13510676,0.12828483
18,0.07391158,0.1808288,0.16174298,0.04045163,0.06735671,0.19883608,0.10510511,0.11664153
19,0.07438859,0.1978022,0.13460981,0.03637703,0.07329843,0.20631182,0.10406343,0.12168085
20,0.07692308,0.20800736,0.11974522,0.03823943,0.07349081,0.20983607,0.15207715,0.12232096
21,0.07758169,0.2060426,0.22283814,0.03787472,0.07016992,0.20106332,0.11306703,0.14251497
22,0.072,0.19604234,0.18531646,0.03918802,0.0661157,0.21116139,0.11107156,0.12729844
23,0.0739146,0.17311528,0.15587189,0.03620565,0.06613672,0.18489703,0.11912803,0.11615786
24,0.07330924,0.2185129,0.13877054,0.03869257,0.07160214,0.19932918,0.12057565,0.14974293
25,0.07357745,0.18233618,0.12255037,0.03629501,0.06874703,0.1998088,0.0922449,0.11014493
26,0.07081371,0.20328849,0.1240513,0.03958201,0.06676471,0.21068104,0.12546626,0.13391304
27,0.07226972,0.18644068,0.16504854,0.0404378,0.06432221,0.2027027,0.09697226,0.13109148
28,0.07198953,0.19640387,0.14271556,0.04188041,0.06544463,0.18390805,0.11726147,0.11476239
29,0.07407407,0.19473684,0.15249663,0.03873267,0.06934307,0.20039101,0.12682091,0.13404977
30,0.07254554,0.18755328,0.15609432,0.03961965,0.06745262,0.21859545,0.15099715,0.09558046
