,svmRadial,rf,J48,bayesglm,knn,Adaboost,rpart,nnet
1,0.10287184,0.10914784,0.10927004,0.1432958,0.09510763,0.10970082,0.79069767,0.11085662
2,0.1251409,0.1119664,0.1099404,0.1482783,0.0990058,0.1120187,0.7957447,0.1287554
3,0.10347904,0.11152074,0.10952704,0.14899515,0.09740933,0.10878849,0.10033031,0.13375431
4,0.09951507,0.10587727,0.11138895,0.14142091,0.09607335,0.11088482,0.10236056,0.12622416
5,0.1285238,0.1078277,0.1079007,0.1491354,0.1148771,0.1087105,0.1004115,0.1236769
6,0.12186,0.1104599,0.1196099,0.1414683,0.1137931,0.1109099,0.7857143,0.1199066
7,0.12599288,0.10983051,0.10860335,0.14903339,0.09816701,0.11040436,0.0998772,0.11070615
8,0.1389863,0.1134552,0.1319504,0.1554481,0.1226927,0.1113924,0.7728238,0.1325161
9,0.1302533,0.1122402,0.1108324,0.1549091,0.1017522,0.1126826,0.1013289,0.1361135
10,0.12621885,0.11046251,0.10909091,0.15230183,0.09949032,0.11061151,0.794926,0.11053463
11,0.1435832,0.1133302,0.1120808,0.1470085,0.1056538,0.1119266,0.7775468,0.1361135
12,0.1222282,0.1252372,0.1080842,0.1452963,0.1118568,0.10669,0.8123711,0.1272727
13,0.1330036,0.1099047,0.1124717,0.1668496,0.1012762,0.1141017,0.8228106,0.111136
14,0.10451727,0.11029748,0.10860748,0.15531837,0.09958333,0.21327968,0.77542373,0.11044639
15,0.1307371,0.112844,0.1110108,0.1548341,0.1008817,0.1106115,0.7867495,0.1096559
16,0.10287184,0.11053463,0.10903427,0.14794138,0.09495782,0.11018289,0.78556263,0.11003382
17,0.1248304,0.1314898,0.1120864,0.1488604,0.1173456,0.1132333,0.782241,0.1262242
18,0.1252106,0.1120808,0.1315939,0.1431981,0.1018382,0.1122872,0.7744681,0.1438486
19,0.1268534,0.1114935,0.1098553,0.159038,0.1174668,0.1107045,0.7489177,0.1331429
20,0.1053084,0.1114621,0.1096316,0.159132,0.1018423,0.109856,0.7784679,0.1112116
21,0.1156412,0.1131989,0.1104898,0.1452168,0.1072072,0.1136416,0.7780127,0.1103448
22,0.1228304,0.1120219,0.130752,0.1356702,0.1129944,0.1119964,0.7798742,0.1297539
23,0.1361036,0.111313,0.1338269,0.152954,0.1076436,0.1115157,0.1032448,0.1323904
24,0.10134567,0.10846855,0.10725275,0.14493735,0.09580364,0.10676001,0.09929078,0.13261851
25,0.10539846,0.11029248,0.1083571,0.15725518,0.09903382,0.11034175,0.81081081,0.10982143
26,0.1073409,0.1119744,0.1298557,0.1555798,0.1016524,0.1124369,0.1105596,0.1283393
27,0.1130952,0.1106756,0.1087449,0.1554745,0.1018892,0.1109057,0.1087449,0.1077411
28,0.1229773,0.1122566,0.1108848,0.1556279,0.1126551,0.1122052,0.7941788,0.124695
29,0.1256516,0.1109837,0.1315566,0.1432047,0.1036046,0.1115722,0.7905983,0.1290503
30,0.10707885,0.11272142,0.11073446,0.14782609,0.09977136,0.11285122,0.82029598,0.11208487
